番号,表示・通知義務対象物質,CAS番号,表示裾切,通知裾切,Substances,"Content (Weight Percent)
for GHS Label","Content (Weight Percent)
for SDS",特化則※１,有機則※２,鉛則・四アルキル鉛則※３,石綿則※４,表示LEFT,表示value,通知LEFT,通知value
519,ヘキサメチレン＝ジイソシアネート,822-06-0,1%未満,0.1%未満,Hexamethylene diisocyanate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
520,ヘキサン,110-54-3他,1%未満,0.1%未満,Hexane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
520,ｎ－ヘキサン,110-54-3,1%未満,0.1%未満,n-Hexane,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
521,１―ヘキセン,592-41-6,1%未満,1%未満,1-Hexene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
522,ベータ―ブチロラクトン,3068-88-0他,1%未満,0.1%未満,β-Butyrolactone,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
523,ベータ―プロピオラクトン,57-57-8,0.1%未満,0.1%未満,β-Propiolactone,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
524,１，４，５，６，７，８，８―ヘプタクロロ―２，３―エポキシ―３ａ，４，７，７ａ―テトラヒドロ―４，７―メタノ―１Ｈ―インデン（別名ヘプタクロルエポキシド）,1024-57-3,0.3%未満,0.1%未満,"1,4,5,6,7,8,8-Heptachloro-2,3-epoxy-3a,4,7,7a-tetrahydro-4,7-methano-1H-indene (alias Heptachlor epoxide)","0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
525,１，４，５，６，７，８，８―ヘプタクロロ―３ａ，４，７，７ａ―テトラヒドロ―４，７―メタノ―１Ｈ―インデン（別名ヘプタクロル）,76-44-8,0.3%未満,0.1%未満,"1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-tetrahydro-4,7-methano-1H-indene (alias Heptachlor)","0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
526,ヘプタン,142-82-5他,1%未満,1%未満,Heptane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
527,ペルオキソ二硫酸アンモニウム,7727-54-0,1%未満,0.1%未満,Ammonium peroxodisulfate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
528,ペルオキソ二硫酸カリウム,7727-21-1,1%未満,0.1%未満,Potassium peroxodisulfate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
529,ペルオキソ二硫酸ナトリウム,7775-27-1,1%未満,0.1%未満,Sodium peroxodisulfate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
530,ペルフルオロオクタン酸,335-67-1,0.3%未満,0.1%未満,Perfluorooctanoic acid,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
530,ペルフルオロオクタン酸アンモニウム塩,3825-26-1,1%未満,0.1%未満,Perfluorooctanoic acid ammonium salt,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
531,ベンゼン,71-43-2,0.1%未満,0.1%未満,Benzene,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
532,１，２，４―ベンゼントリカルボン酸１，２―無水物,552-30-7,1%未満,0.1%未満,"1,2,4-Benzenetricarboxylic 1,2-anhydride","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
533,ベンゾ［ａ］アントラセン,56-55-3,1%未満,0.1%未満,Benzo[a]anthracene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
534,ベンゾ［ａ］ピレン,50-32-8,0.1%未満,0.1%未満,Benzo[a]pyrene,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
535,ベンゾフラン,271-89-6,1%未満,0.1%未満,Benzofuran,"1%, no less than ","0.1%, no less than ",,,,,1%,1%,0.1%,0.1%
536,ベンゾ［ｅ］フルオラセン,205-99-2,0.1%未満,0.1%未満,Benzo[e]fluoranthene,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
537,ペンタクロロナフタレン,1321-64-8,1%未満,1%未満,Pentachloronaphthalene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
538,ペンタクロロニトロベンゼン,82-68-8,1%未満,0.1%未満,Pentachloronitrobenzene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
539,ペンタクロロフェノール（別名ＰＣＰ）,87-86-5,0.3%未満,0.1%未満,Pentachlorophenol (alias PCP) ,"0.3%, no less than ","0.1%, no less than ",○第2類,,,,0.3%,0.3%,0.1%,0.1%
539,ペンタクロロフェノール（別名ＰＣＰ）ナトリウム塩,131-52-2,0.3%未満,0.1%未満,Pentachlorophenol (alias PCP) sodium salts,"0.3%, no less than ","0.1%, no less than ",○第2類,,,,0.3%,0.3%,0.1%,0.1%
540,１―ペンタナール,110-62-3,1%未満,1%未満,1-Pentanal,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
541,１，１，３，３，３―ペンタフルオロ―２―（トリフルオロメチル）―１―プロペン（別名ＰＦＩＢ）,382-21-8,1%未満,1%未満,"1,1,3,3,3-Pentafluoro-2-(trifluoromethyl)-1-propene (alias PFIB)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
542,ペンタボラン,19624-22-7,1%未満,1%未満,Pentaborane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
543,ペンタン,109-66-0他,1%未満,1%未満,Pentane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
544,ほう酸,10043-35-3,0.3%未満,0.1%未満,Boric acid,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
544,ほう酸ナトリウム,1330-43-4,1%未満,0.1%未満,Sodium borate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
545,ホスゲン,75-44-5,1%未満,1%未満,Phosgene,"1%, no less than ","1%, no less than ",○第3類,,,,1%,1.0%,1%,1.0%
545-2,ポルトランドセメント,65997-15-1,1%未満,1%未満,Portlamd cement,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
546,（２―ホルミルヒドラジノ）―４―（５―ニトロ―２―フリル）チアゾール,3570-75-0,1%未満,0.1%未満,2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
547,ホルムアミド,75-12-7,0.3%未満,0.1%未満,Formamide,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
548,ホルムアルデヒド,50-00-0,0.1%未満,0.1%未満,Formaldehyde,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
549,マゼンタ,632-99-5,1%未満,0.1%未満,Magenta,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
550,マンガン,7439-96-5,0.3%未満,0.1%未満,Manganese,"0.3%, no less than ","0.1%, no less than ",○第2類,,,,0.3%,0.3%,0.1%,0.1%
550,無機マンガン化合物,＊,1%未満,0.1%未満,Manganese inorganic compounds,"1%, no less than ","0.1%, no less than ","○第2類
※無機に限定せず。塩基性酸化マンガンを除く。",,,,1%,1.0%,0.1%,0.1%
